44.098	121.8	40.819	12.887	0.879	10.635	11.393	14.661
39.3	131.967	42.42	12.321	0.884	12.337	10.952	14.117
37.917	134.25	42.6	12.975	0.914	10.702	11.977	14.373
39.58	136.335	41.195	12.671	0.844	11.05	10.767	14.812
34.863	130.441	42.475	12.24	0.781	11.975	9.627	15.816
38.917	132.267	42.467	12.833	0.877	11.103	11.332	14.612
37.039	129.253	46.997	14.109	0.906	13.23	12.844	15.751
41.099	130.637	43.543	12.933	0.914	9.925	11.857	14.334
37.368	127.405	42.938	11.673	0.8	11.7	9.476	14.798
34.024	133.787	45.972	12.257	0.895	10.701	10.925	14.115
33.857	134.789	48.829	13.139	0.921	10.922	12.228	14.589
39.917	134.117	42.106	12.709	0.863	11.11	11.016	14.689
37.048	133.508	44.846	12.89	0.883	11.306	11.46	14.798
38.317	129.37	43.378	13.026	0.895	11.396	11.781	14.764
37.691	128.579	42.175	13.184	0.814	11.54	10.776	16.516
37.133	134.686	47.278	13.11	0.955	11.668	12.552	13.974
32.772	123.32	41.815	13.51	0.978	11.174	13.32	14.212
31.226	136.452	48.264	13.014	0.865	11.251	11.364	15.167
32.987	125.675	47.016	13.457	0.943	12.168	12.704	14.621
33.528	132.755	41.181	12.76	0.823	12.409	10.521	15.914
30.217	124.217	44.665	12.63	0.956	12.01	12.102	13.441
27.477	130.8	42.401	13.69	0.975	13.482	13.496	14.093
25.785	126.526	45.274	14.018	0.864	12.309	12.153	16.794
30.185	121.3	47.432	12.639	0.91	11.93	11.666	14.17
22.969	117.762	42.802	13.262	0.911	12.622	12.116	14.741
28.85	128.395	45.485	13.698	0.914	14.572	12.377	15.057
24.445	126.375	44.077	13.502	1.052	13.028	14.405	13.014
29.411	119.429	42.922	12.972	0.968	12.272	12.518	13.641
10.617	99.192	39.228	10.852	0.804	11.967	8.7	13.705
27.633	125.507	42.877	13.248	0.967	14.24	12.846	13.941
23.095	124.753	44.479	13.658	0.968	15.999	13.423	14.205
22.694	115.45	44.113	13.635	0.932	11.466	12.805	14.78

