14.679	41.416	24.031	2.234	0.014	3.086	5.415	5.443
17.074	36.122	26.944	2.089	0.019	1.331	8.266	2.388
15.541	46.867	35.597	3.735	0.013	2.364	9.715	4.363
21.3	52.916	35.774	3.317	0.031	4.584	13.5	6.434
10.398	48.509	32.982	4.263	0.009	5.446	7.492	3.946
17.276	41.889	36.385	2.329	0.019	5.022	7.305	5.309
23.743	35.922	31.979	3.063	0.012	6.344	7.46	4.014
8.677	35.716	29.795	1.629	0.01	7.239	4.632	2.244
12.027	37.947	11.346	2.258	0.012	3.227	4.868	3.409
9.667	38.437	31.213	3.094	0.015	3.629	7.427	4.262
11.817	28.911	28.102	2.251	0.019	3.896	10.085	2.025
17.851	30.041	45.449	1.741	0.018	3.524	5.596	4.13
16.482	37.045	21.379	2.418	0.017	3.418	7.454	5.908
14.514	37.216	22.55	3.413	0.013	4.326	8.68	2.863
16.238	19.398	25.091	2.225	0.012	3.777	5.615	2.946
13.707	43.449	21.738	2.516	0.018	2.196	8.905	2.026
17.017	37.274	22.247	1.911	0.014	0.915	5.888	2.84
13.894	39.367	18.307	1.352	0.008	5.67	3.017	2.245
15.937	28.919	19.285	1.981	0.013	4.628	5.166	4.471
12.138	47.344	25.228	1.987	0.015	10.446	7.863	1.869
13.554	39.669	16.979	1.666	0.013	3.182	4.945	3.684
11.55	42.103	17.942	1.465	0.011	4.425	3.619	2.297
10.053	45.516	32.181	1.555	0.008	4.744	3.701	2.034
7.999	32.895	30.374	1.501	0.008	4.444	3.236	1.857
8.688	31.169	30.407	2.074	0.015	4.206	6.644	2.761
15.472	49.573	63.087	1.808	0.016	3.139	5.185	3.833
6.471	49.645	48.547	1.056	0.02	3.663	5.761	2.988
13.75	21.806	13.695	0.505	0.006	1.897	2.357	1.435
3.063	16.744	30.051	1.295	0.007	1.333	1.577	3.749
15.502	12.285	12.03	0.967	0.011	1.973	3.538	1.233
8.57	18.67	34.208	1.635	0.015	2.856	4.808	3.656
8.446	32.617	26.968	2.312	0.016	5.435	7.083	4.116

