34.671	88.252	50.45	2.594	0.008	2.472	7.445	6.697
26.763	107.181	57.658	2.965	0.013	5.216	5.916	4.234
22.107	103.876	49.392	3.664	0.015	8.104	6.056	4.36
39.124	136.73	77.223	3.154	0.011	4.008	6.158	2.877
53.136	68.709	42.394	2.308	0.007	3.514	4.72	4.042
28.769	146.137	54.755	3.374	0.012	5.28	4.863	2.95
49.042	149.471	67.28	4.156	0.012	6.516	8.014	12.057
40.443	89.915	42.106	3.655	0.014	4.561	7.939	3.884
63.099	50.22	23.876	2.717	0.011	3.393	10.099	3.198
26.37	52.467	72.881	3.556	0.017	4.021	10.726	4.84
18.994	94.82	69.9	2.533	0.023	8.011	9.448	6.111
42.846	72.313	46.543	2.163	0.01	4.132	4.232	2.39
28.681	83.83	53	2.539	0.013	5.449	5.099	4.584
44.773	145.087	87.827	3.253	0.013	5.936	5.559	5.651
34.485	61.641	73.937	3.516	0.008	4.105	9.206	3.747
30.657	240.618	87.653	3.391	0.022	7.701	6.865	6.265
43.347	71.828	39.684	3.264	0.042	16.234	7.306	5.202
34.93	80.045	42.342	2.999	0.01	5.218	4.899	3.473
30.294	117.989	57.343	5.18	0.014	8.646	14.658	7.146
26.574	48.535	32.398	3.878	0.01	3.604	9.024	2.94
29.461	98.639	38.441	1.727	0.015	4.312	4.56	5.858
21.737	68.939	73.691	3.806	0.009	7.948	3.696	3.863
28.066	54.395	48.348	4.207	0.025	9.184	14.019	4.432
31.357	82.639	55.628	2.715	0.031	10.224	5.27	10.234
22.428	86.915	25.698	3.42	0.013	6.045	6.537	5.529
16.776	81.576	41.134	3.089	0.006	3.446	4.911	4.265
26.607	87.399	42.345	4.83	0.02	13.159	4.911	4.862
29.634	67.352	30.3	2.99	0.012	3.946	7.241	7.141
5.369	46.008	19.655	1.721	0.006	2.498	4.064	2.305
29.704	67.532	43.987	3.608	0.014	7.322	4.551	10.379
21.078	55.509	38.46	4.927	0.012	9.232	4.805	7.354
18.519	68.805	33.435	3.916	0.014	9.14	4.661	6.323

